cancel  v.删去,取消
avail  v.有益于,有用;n.用处,利益
question  n.问题v.询问
beholden  adj.感激某人的;欠人情的
impoverish  v.使成赤贫
calibre  n.(枪等)口径；(人或事)品德,才能
whirlpool  n.漩涡
intellectual  a.智力的,理智的,有理解力的;n.知识分子
interchangeable  adj.可互换的
picture  n.图画
cob  n.玉米棒子;雄天鹅
stressful  adj.充满压力的
rose  n.玫瑰，蔷薇
officious  adj.爱发命令的,好忠告的
thousand  num.一千n.许多
resurrect  v.使复活；复兴
cantankerous  adj.脾气坏的,好争吵的
father-in-law  n.岳父；公公
kudos  n.荣誉
cow  n.母牛
quack  n.冒充内行之人；庸医
madman  n.疯子
coy  adj.腼腆的,忸怩的
bruise  n./v.青肿,受伤,伤痕
pacify  v.使安静,抚慰
gown  n.长袍,长外衣
automation  n.自动，自动化，自动操作
rove  v.流浪,漂泊
pipe  n.管子，导管；烟斗；笛
representative  n.代表，代理人a.(of)典型的，有代表性的
longitude  n.经度
salacious  adj.好色的,淫荡的
pigeon  n.鸽
actress  n.女演员
pernicious  adj.有害的,致命的
rout  n.大败,溃败
plenty  n.丰富
rarity  n.稀罕,罕见;罕见事物
specialized  adj.专业的，专门的
chicken  n.小鸡
indurate  v.使坚硬;使习惯于
motorcar  n.汽车
renowned  adj.著名的
effective  a.有效的，生效的；被实施的；给人深刻印象
mishandle  v.装卸不慎
muscle  n.肌肉，体力
flux  n.流,流动;不断的变化
ammunition  n.弹药
disorientation  n.迷失方向;[心]迷向
resurgence  n.再起，复活，再现
celibate  n./adj.独身者,不结婚的
bachelor  n.单身汉,学士
porcine  adj.猪的,似猪的
cry  n.&v.哭
pineapple  n.凤梨，波萝
incorrigibility  n.无可救药
quantitative  a.量的,定量的
harness  n.挽具,降落伞背带;vt.上挽具;治理(河流等);利用
impatience  n.不耐烦
sketch  n.草图,素描;短剧;简述;v.草拟
capita  n.人
fatten  v.使长肥;使土壤肥沃;装满
hypercritical  adj.苛求的,吹毛求疵的
vertebrate  n.脊椎动物
pity  v.可怜
infatuation  n.迷恋
uncertain  a.无常的；不确定的
beautiful  a.美丽的
rectify  vt.纠正,矫正;[化]精馏
antonym  n.反义词
pith  n.精髓,要点
strut  v.趾高气扬地走
worker  n.工人
defined  adj.定义的;清晰的
typographical  adj.印刷上的
element  n.元素；要素；成分；元件；自然环境
nestling  n.尚未离巢的小鸟
mendacious  adj.不真的；撒谎的
restraint  n.抑制，制止
aftermath  n.事件的后果,余波
cub  n.幼兽；年轻无经验的人
cue  v.暗示，提示；n.暗示，提示
chortle  v./n.开心地笑
footle  v.胡闹；浪费(时间)
infringe  v.违反,触犯,侵害
instigator  n.发起者,煽动者
cup  n.杯子
cut  n.&v.切
starve  v.使饿死
dread  n./v.畏惧,恐惧
harass  v.侵扰,烦忧
Sweden  n.瑞典
celery  n.芹菜
distribute  vt.分发,分配,散布
kitchen  n.厨房；炊具
shout  v.&n.呼喊
ankle  n.足踝，踝关节
creation  n.创造,创作,创造物
think  v.思索；认为
ingredient  n.成分
librarian  n.图书管理员
reporter  n.报告人，通讯员；记者，报导者
shove  vt.乱推；乱塞vi.用力推，挤n.猛推
marketing  n.市场学，营销学
mongrel  n.杂种动物
torture  vt./n.拷打,折磨,使受剧烈痛苦
mistress  n.女主人；主妇；情妇，情人
suborn  v.收买,贿赂
thing  n.事情
insubstantial  adj.非实体的;薄弱的
variegate  v.使…多样化
thigh  n.大腿,股
litigant  n.诉讼当事人
apparel  n.(精致的)衣服
domestic  a.家的,家庭的;本国的;n.佣人
initiate  vt.开始;使初步了解;介绍某人为(会员等)
amends  n.赔偿
glare  n./v.眩目地照射,闪耀;瞪视
prepossessing  adj.(个性等)给人好感的
terrestrial  adj.地球的；陆地的
deception  n.欺诈
shoot  v.射击
curvaceous  adj.婀娜多姿的,曲线的
stencil  n.复写纸，蜡纸
stability  n.稳定，安定
budget  n./vi.预算
actual  a.实际的；真实的
son-in-law  n.女婿
glass  n.玻璃
clatter  n.得得声，卡嗒声
widely  ad.广，广泛
dunce  n.笨人
jacket  n.短上衣，茄克衫
incisor  n.门牙
frailty  n.脆弱,弱点
redound  v.增加，促进
bottom-line  n.末行数字，结果
assume  vt.假定;承担;使用
fetid  adj.有恶臭的
polymer  n.聚合物，多聚物
memory  n.记忆；内存
askance  adv.侧目而视,瞟
warranted  adj.担保的
unemloyment  n.失业
intercede  v.说好话,代求情
indefinite  a.不明确的；不定的
disaster  n.灾难，大祸；彻底的失败
dissection  v.解剖,剖析
cumulus  n.积云
progeny  n.后代,子女
shore  n.岸；海滨
cursive  adj.草书的
discordant  adj.不一致的,不调和的
stylist  n.时装设计师
bicker  v.为小事争吵
marvel  n.奇迹；惊奇vt.惊奇
foreshadow  v.预示
short  a.短的
colander  n.滤器,漏勺
lubricious  adj.光滑的,好色的
replete  adj.饱满的,塞满的
blemish  v.损害,玷污；n.瑕疵,缺
enfranchise  v.给予选举权；释放(奴隶)
finance  n./vt.财政,金融,资金
fencing  n.剑术,击剑法
relenting  adj.减弱的,怜悯的
rewarding  adj.有收获的
abreast  adv.并肩，并列
dogmatic  adj.教条的,教义的
regulate  vt.控制,管理;调整,调节
ninety  num.九十
listless  adj.无精打采的
encircle  v.环绕，包围
facade  n.建筑物的正面;(虚伪)外表
nicety  n.准确,精确
sadistic  adj.施虐狂的,性施虐狂的
extant  adj.现存的,传世的
consistency  n.一致(性)
Greece  n.希腊
cryogenic  adj.低温的,制冷的;低温学的
enter  vt.进入
savings  n.存款，储蓄额
gallery  n.画廊,美术品陈列室,剧场顶层
misogamy  n.[心]厌婚症
monochromatic  adj.单色的
hostage  n.人质
detonate  v.(使)爆炸,引爆
creative  a.有创造力的，创造性的
respectfully  adv.恭敬地
coast  n.海岸，海滨
serried  adj.密集的
impresario  n.(剧院或乐团等)经理人,主办者
introspection  n.内省,反省
bright  a.聪明的
benefactor  n.行善者,捐助者
frivolous  adj.轻薄的,轻佻的
congressman  n.国会议员
assure  vt.断言;使确信;保(人寿)险
pretext  n.借口
gracious  a.亲切的,和善的;优美的,奢华的
crutch  n.拐杖
performer  n.执行者，表演者
wallet  n.皮夹，钱包
dehumanize  v.使失掉人性
precarious  adj.不稳的,危险的
evince  v.表明,表示
fetch  v.(去)取,拿来;(货物)售的(价钱)
barely  ad.赤裸裸地，无遮蔽地；仅仅，勉强，几乎没有
cornucopia  n.象征丰收的羊角(羊角装饰器内装满花、果)
prevalent  a.普遍的,流行的
cytology  n.细胞学
oasis  n.绿洲
endorsement  n.背书
compact  a./n.紧密的,紧凑的;合同
dad  n.爸爸
possession  n.所有,拥有,财产
dam  n./vt.水坝,筑坝,抑制,阻拦
enlightening  adj.给人启发的
disconnected  adj.不连贯的
emptiness  n.空虚，空白
bedeck  vt.装饰,修饰
audible  adj.听得见的
offish  adj.冷淡的
ichthyologist  n.鱼类学者
showy  adj.鲜艳的;炫耀的
majesty  n.雄伟，壮丽，庄严，威严；最高权威，王权
day  n.日
depredation  n.劫掠,蹂躏
poseur  n.装模作样的人
maverick  n.想法与众不同的人
impressionable  adj.易受影响的
statesman  n.政治家,政客
nimble  adj.敏捷的,灵活的
socks  袜子
countless  adj.无数的
loudspeaker  n.扬声器，扩音器
fervor  n.热诚,热心
critical  a.危急的,批评的,苛求的,关键的
defalcate  v.盗用公款
envision  v.想象，预想
inducement  n.诱导，动机
declining  adj.下降的，衰落的
equitable  adj.公平的,公正的
perspicuity  n.明晰；聪明睿智
specimen  n.标本,样品,样张;试样
vituperate  v.痛斥,辱骂
exotic  adj.珍奇的；来自异国的
hegemony  n.霸权,领导权
introduction  n.(to)介绍；传入，引进；导言，导论，绪论
annals  n.编年史
revenge  vt.报仇,报复
distill  v.蒸馏
intemperance  n.无节制,放纵
utopia  n.理想国，理想的完美境界
ineluctable  adj.不能逃避的
crescendo  n.(音乐)渐强,高潮
concentration  n.集中；专注；浓缩
heavily  ad.重重地；大量地
malfeasance  n.不法行为,渎职
third  num.第三
confession  n.供认，自由
further  a.更远的
siren  n.警报声，警报器
contracted  adj.合同所规定的
underline  vt.划线于…之下;强调
instigate  v.发起,煽动
underling  n.下属,手下
den  n.窝
parliament  n.国会,议会
dew  n.露水
exemplar  n.模范,典型
crisp  a.脆的,易碎的;霜冻的;干脆的;n.油炸马铃薯片;v.(使)发脆
memoir  n.回忆录
servitude  n.奴役,劳役
shock  n.打击；震动v.震动
impact  n.影响;冲击,碰撞
strew  v.撒,散播
excogitate  v.认真想出
buyer  n.购买者
prejudiced  adj.有偏见的,有成见的
attitude  n.态度，看法(to,toward,about)；姿势
average  n.平均，平均数a.平均的；普通的v.平均
treatment  n.待遇；治疗，疗法
compare  v.比较
embryonic  adj.胚胎的,萌芽期的
journal  n.定期刊物，杂志，日报；日志，日记
interstice  n.细裂缝,空隙
unlike  a.不同的，不相似的prep.不象，和…不同
volcano  n.火山
override  v.不理会；蹂躏,践踏
so-called  a.(贬)所谓的，号称的
congruous  adj.一致的,符合的;[数]全等的
business  n.商务
partly  ad.部分；几分
chestnut  n.栗子；栗树；栗色
shoes  鞋
constrained  a.束缚的，节制的
grumble  vi./n.埋怨,发牢骚,咕哝
premeditated  adj.预谋的,事先计划的
borrow  vt.借
maximum  n.最大量,最大限度
desert  v.丢弃,离开,背弃,开小差;n./a.沙漠,无人居住的
quartet  n.四重奏,四重唱
quarter  n.四分之一
die  vi.死亡
fragrant  a.香的；芬芳的
dig  v.挖
din  n.喧闹声,嘈杂声
dim  a.暗的,看不清楚的,迟钝的;v.变模糊,变暗淡
turgid  adj.浮肿的,肿胀的；浮夸的
dip  n./v.蘸湿;斜坡;短时间游泳
besiege  v.围攻,困扰
exemplary  adj.可作楷模的
desuetude  n.废止,不用
limestone  n.石灰石
fruition  n.实现,完成
molten  v.熔化;adj.熔化的
reconvene  v.再集会,再召开
impair  v.损害,使弱
inconceivable  adj.难以想像的,不可能的
sumptuous  adj.豪华的,奢侈的
stray  vi.迷路a.迷路的
static  a.静止的,固定的;n.静电干扰
journey  n.旅行
finally  ad.最后，最终；决定性地
strap  n.带;皮带;vt.用带束住;捆扎
brown  a.褐色的n.褐色
publicly  adv.公开地
straw  n.稻草，麦杆；吸管
aromatic  a.芬芳的，芳香的
hideous  adj.骇人听闻的
mendacity  n.虚假
acceptance  n.接受，接收，验收，接纳；承认，认可
repatriate  v.(自异国)遣返
vertigo  n.眩晕
impermeable  a.不可渗透的，透不过的
expiration  n.期满
emote  v.激动地表达感情
inoculate  v.预防注射
distract  v.分散；使分心；打扰；使心情烦乱
palate  n.上腭；口味；爱好
nerveless  adj.无力的；无勇气的
virtual  a.实际上的，事实上的
mace  n.权杖
back  n.后面
apposite  adj.适当的,恰当的
guzzle  v.大吃大喝
ovoid  adj./n.卵行的,卵形体
phenomenology  n.现象学(对现象的哲学研究)
foppish  adj.浮华的,俗丽的
pound  n.磅；英镑v.(连续)猛击，(猛烈)敲打，捣碎
ferry  n./v.渡口,渡船,摆渡
company  n.公司
shoal  n.浅滩,浅水处;一群(鱼等);adj.水浅的
drollery  n.笑谈,滑稽
erudite  adj.博学的,饱学的
relax  v.放松；休息
relay  vt.转播;传递n.替班;转播;接力赛跑
length  n.长度
keyhole  n.钥匙孔
baby  n.婴儿
fiendish  adj.极凶恶的
ludicrous  adj.荒唐可笑的
podiatrist  n.足医
industrialized  adj.工业化的
relic  n.遗物,遗迹
construct  v.建设，建造，构造；创立
attempt  n.努力；尝试
thick  a.厚的；稠的
rivalry  n.竞争，对抗
foreclosure  n.取消抵押品赎取权
balance  n.平衡;天平;vt.使平衡;称;权衡
pickpocket  n.扒手，小偷
kindness  n.仁慈，亲切；好意；友好行为
immaculate  adj.洁净的,无瑕的
statue  n.塑像，雕像
being  n.存在
dynamo  n.发电机
inorganic  a.无生物的；无机的
physicist  n.物理学家
debunk  v.揭穿真相,暴露
substratum  n.基础,地基
curse  n.咒骂,祸因,骂人话;v.咒骂
invalid  a.无效的,作废的;无根据的n.病人,病弱者;a.病弱的,伤残的
dog  n.狗，雄兽vt.尾随，跟踪
status  n.身分,地位
counterbalance  v.起平衡作用
nobility  n.高贵,高尚;贵族
imperious  adj.傲慢的,专横的
diffusion  n.传播,散布
don  v.穿衣,戴帽
curve  n.曲线;v.弄弯,成曲线
thief  n.贼；小偷
extraneous  adj.外来的;无关的
dot  n.小圆点,小点vt.加上小点,散布于,点缀
stream  n.川v.流，涌
condemnation  n.谴责，判决
nurse  n.护士
coalition  n.结合,联合
pristine  adj.太古的；纯洁的；新鲜的
crime  n.罪行，犯罪
pavement  n.人行道
alcove  n.凹室
cigarette  n.香烟，纸烟，卷烟
ogle  v.送秋波；n.媚眼
irregularity  n.不规则；不整齐
zealous  a.热心的，热情的
trenchant  adj.一针见血的
cultivation  n.耕作，培养
computation  n.计算
Spain  n.西班牙
inexpedient  adj.不适当的,不明智的
discreet  a.谨慎的,思虑两全的
mail  n.邮件
bait  n.饵,诱惑物;v.装饵;辱骂;欺侮
main  n.主要部分
sadness  n.悲痛，悲哀
maim  v.使残废
bail  n.保释金
evict  v.(依法)驱逐
arrangement  n.整理，排列；安排
revenue  n.(国家的)年收入,税收
strip  vt./vi.剥去,除去;剥夺财产;n.狭长一片
pretense  n.借口
bilingual  adj.(说)两种语言的
credit  n.信誉，信用v.相信
maid  n.少女，处女，女仆
insofar  adv.在范围内
intensive  a.加强的，集中的，深入细致的，精耕细作的
discountenance  v.不赞成,不支持
fraudulent  adj.欺骗的,不诚实的
brook  n.小溪vt.容忍
travesty  n./v.歪曲模仿,曲解
bearing  n.举止;关系;方位
broom  n.扫帚
expectant  adj.期待的,期望的;期待者
wallow  v./n.(猪等)在泥水中打滚；沉溺于
dry  a.干的
embroil  v.牵连,卷入纠纷
streak  n.纹理，条纹vt.裸奔,飞驰
brood  n.同窝幼鸟;一个家庭的孩子;vi.孵幼雏;沉思
undesirable  adj.令人不悦的,讨厌的
wallop  v./n.重击,猛打
compass  n.指南针,圆规,界限
antidote  n.解毒药
demure  adj.严肃的,矜持的
presage  n.预感
fidelity  n.忠实；忠诚
balk  n.大方木料;v.妨碍;(因困难等)不愿前进或从
ball  n.球
bale  n.大包裹；灾祸,不幸
indispensability  n.不可缺少
bald  n.秃头的,单调的
oratorio  n.清唱剧(没有舞台行动、道具的戏剧)
make  vt.制造
fulfil  vt.完成,履行
palmy  adj.繁荣的;棕榈的
reprehensible  adj.应受谴责的
unassailable  adj.攻不破的
waving  adj.波浪状的
noisome  adj.恶臭的；令人不快的
constable  adv.警官
spindly  adj.细长的,纤弱的
gentry  n.绅士,上等人
bread-earner  n.挣钱养家的人
intensity  n.强烈，剧烈；强度
fortify  v.加强防卫
due  a.应得的
bake  v.烘烤
pumpkin  n.南瓜，南瓜藤
invention  n.发明，创造，发明物
telefax  n.传真v.发传真
devoid  adj.空的,缺少的
taunt  v.嘲笑,讥笑
necropolis  n.大墓地,公墓
boredom  n.厌烦,厌倦
mollification  n.缓和
tamper  v.损害,窜改
psychological  a.心理的，心理学的
caisson  n.(马拉的)弹药箱车或灵柩车
dearth  n.缺乏,短缺
commit  vt.犯(罪),干(坏事);使(自己)承担义务,作出保证,承诺;把…交托给
incorrigible  adj.积习难改的,不可救药的
vacillation  n.犹豫
bank  n.银行
dejection  n.沮丧,颓丧
scurry  v.急跑,疾行
supernova  n.超新星
meaning  n.意义
bang  n./v.猛击,猛敲,砰然作声
rostrum  n.讲台,讲坛
bane  n.祸根
magnetic  a.磁的，有磁性的；有吸引力的
band  n.条，带；乐队；波段；一群，一伙v.缚，绑扎
orbit  n.天体轨道;势力范围;vt.沿轨道运行
beneficent  adj.行善的
salutary  adj.有益的,有益健康的
transship  v.转运，转船
devaluation  n.贬值
equivalence  n.相等，等值
intersperse  v.散布；点缀
shortcoming  n.短处，缺点
self-explanatory  adj.不解自明的
allied  a.联合的；联姻的
balm  n.香油,药膏
celerity  n.快速,迅速
prevision  n.先见,预感
labor  n.工作，劳动；劳力v.劳动，苦干
foreknowledge  n.预知
furtive  adj.偷偷的,秘密的
sober  a.未醉的;严肃的;素淡的;v.(up)(使)醒酒;(使)清醒
capsize  v.使船翻;倾覆
male  a.男的
ministry  n.(政府的)部；牧师
mackintosh  n.(英国英语)雨衣;苹果计算机的一种型号
spinster  n.未婚女人
expel  vt.开除;驱逐;排出
seizure  n.强占，没收,发作,赃物
enroute  adv.在途中
invective  n.猛烈抨击,痛骂
latitude  n.纬度;地区;(言论,行动的)自由
fragmentation  n.破裂,分裂
uproar  n.骚动，喧嚣，鼎沸
landfill  n.垃圾堆
remember  v.回忆起；记得
profane  v.亵渎,玷污
partition  n.分开，分割；融墙
relationship  n.关系，联系
twinkle  vi.闪烁,闪耀;闪闪发光
crayon  n.彩色腊笔、粉笔或其绘画
expression  n.表达；表情；声调；腔调；榨出；措词；式；符号
atrocity  n.残暴,暴行
star  n.星星
childhood  n.幼年，童年
many  a.许多的pron.许多
entrepreneur  n.企业家,创业人
stay  v.停留
dedicate  vt.奉献,供奉;题献(著作)
puissant  adj.强有力的,强大的
dye  n.染料v.染，染色
stab  v./n.刺，戳
impart  v.给予;告知,透露;传授
inspire  vt.激励,鼓励;灌注以创造力
progress  n.进步；前进
disoriented  adj.迷失方向的;无判断力的
Australia  n.澳大利亚
devote  vt.投入于
seller  n.卖者；行销货
barb  n.(鱼钩的)倒钩;严厉的批评
delectable  adj.赏心悦目的
treat  n.宴请
abortion  n.流产
wholly  ad.完全地，全部，一概
approximate  a.近似的,约略的v.接近,近似
psychopathic  adj.患精神病的
hexagon  n.六角形,六边形
itinerant  adj.巡回的,流动的
affectation  n.做作,虚假
nominate  vt.提名
tread  vi.&vt.踩，踏，践踏
emboss  v.加浮雕花纹于,使凸出
imperil  v.使陷于危险中,危及
barn  n.谷仓
dynasty  n.王朝，朝代
stationary  a.固定的,定置的;不变动的,不移动的
bark  n./v.树皮,狗叫
uniformly  ad.相同地；一贯
speck  n.斑点；少量
ellipse  n.椭圆(形)
bare  a.赤裸的;光秃秃的;刚刚够的,勉强的;vt.露出,暴露
bard  n.吟游诗人
richness  n.富饶，富有
disarray  n.混乱,漫无秩序
etymology  n.语源学
peccadillo  n.小过失
seedy  adj.多种子的；衣衫褴褛的
modification  n.缓和；修改；修饰
duress  n.胁迫
discrete  adj.个别的；不连续的
tragedian  n.悲剧演员
coefficient  n.协同因素；系数，率
carnal  adj.肉体的,肉欲的
farewell  int./n./a.再见;临别的,告别的
knock  n.&v.敲
mast  n.桅杆；杆vt.扯帆
mass  n.块；聚集；集中
contemptible  adj.令人轻视的
speed  n.迅速v.加速
auction  n./vt.拍卖
apple  n.苹果
admit  vt.承认，供认
common  a.共同的
interest  n.兴趣；重要性
China  n.中国
themselves  pron.他(她、它)们自己
twig  n.细枝
mash  v.捣成糊状
detraction  n.贬低,诽谤
bath  n.沐浴
twin  a.双的，成对的，孪生的n.孪生子，双生子
mask  n.面具,口罩;vt.遮蔽,伪装
chaste  adj.贞洁的；朴实的
canary  n.金丝雀
apply  vt.应用
stew  vt.炖vi.炖着n.炖肉
mars  n.火星；战争
hotelling  n.旅馆业
ethereal  adj.太空的；轻巧的
arabesque  n.蔓藤图饰
mare  n.母马;母驴
disagree  vi.有分歧；不一致
formula  n.公式；规则；分子式；药方
abacus  n.算盘
bask  v.晒太阳,取暖
canard  n.谣言,假新闻
step  n.脚步
tatty  adj.简陋的,不整洁的
mark  n.&v.标志
tribute  n.贡品；颂词，称赞，(表示敬意的)礼物
temperance  n.自制；禁酒
base  n.底部；基数
stem  n.茎;vi.(～from)起源于
subordinate  a.下级的,次要的;从属的;n.部下,下级职员;vt.把…列为下级,使在次要地位
trend  n.倾向,趋势
ungainly  adj.笨拙的
reminisce  v.追忆,怀旧
itinerary  n.行程表；旅行路线
pugnacious  adj.好斗的
ragtime  n.拉格泰姆音乐；a.使人发笑的，滑稽的
incentive  n.刺激；动力；鼓励；诱因；动机
relate  v.叙述，讲述；使互相关联
repudiate  n.拒绝接收，拒付
maul  v.撕裂皮肉,伤害
mishap  n.不幸的事,不幸,灾祸
devious  adj.不正直的；弯曲的
biology  n.生物学
exceptional  a.优越的,杰出的;特殊的,例外的
cattle  n.牛
impale  v.刺入，刺中
convince  vt.使信服
mate  n.伙伴，同事，同伴，配偶v.结伴，配对，交配
deputize  v.代替某人行事或说话
missionary  a.教会的，传教(士)的n.传教士
propellent  adj.推进的
theory  n.理论；学说
mannerism  n.矫揉造作成癖
inoffensive  adj.不触犯人的
forehead  n.前额；(任何事物的)前部
secret  a.秘密的n.秘密
foundation  n.基础，根本，建立，创立；地基，基金，基金会
across  ad.交叉；横过
unwise  adj.愚笨的
queasy  adj.令人恶心的
identity  n.身份；本体；特征；同一(性)；一致；国籍；等式
ear  n.耳朵
eat  v.吃
snobbish  a.势利的，谄上欺下的
solitude  n.寂寞，独居
mistimed  adj.不合时机的
reward  n.报酬
ebb  v.退潮；衰退
disagreement  n.不一致；争论
disagreeable  adj.讨厌的；乖戾的
juice  n.(水果等)汁，液
gathering  n.集会，聚会，聚集
opinion  n.意见；看法
monastery  adj.修道院，寺院
devout  a.虔敬的；忠诚的，忠心的
soldier  n.士兵
devotion  n.献身，热诚，专心
juicy  adj.多汁的
distrait  adj.心不在焉的
bawl  v.大叫,大喊
devour  vt.狼吞虎咽地吃;挥霍,耗尽
stir  v.搅拌，搅动；动，摇动；激动；轰动；煽动，鼓动
escort  n.护卫者;护航舰;vt.护送,护卫
existence  n.存在，实在；生存，生活(方式)
pretence  n.虚伪；借口
migratory  a.迁移的，流浪的
maze  n.迷宫
disputatious  adj.好争辩的
unqualified  adj.无资格的;无限制的,绝对的
expressive  adj.有表现力的
defendant  n.被告
uproarious  a.骚动的，喧嚣的；令人捧腹的
exaggerate  v.夸大,夸张
streamline  a.流线型的vt.使成流线型；使合理化
locution  n.语言风格；惯用语
spell  n.魅力v.拼写
aberration  n.离开正路，脱离常轨；变形
perfectionist  n.力求完美者,吹毛求疵者
recidivism  n.累犯,重犯
combustion  n.燃烧
finicky  adj.苛求的,过分讲究的
concerto  n.协奏曲
thrust  n.猛推;冲锋,突击;推力
pathogen  n.病原体
weaver  n.织布工，编织者
commence  v.开始
sporadic  adj.不定时发生的
configuration  n.结构,配置
pollster  n.民意测验家
eel  n.鳝鱼
unwind  v.松开;放松
platform  n.讲台
percussionist  n.敲击乐器乐师
enmity  n.敌意,仇恨
sojourn  v./n.逗留,寄居
provenance  n.(艺术等的)出处,起源
spend  v.花费；度过
accompaniment  n.伴侣，伴奏
cubism  n.立体主义
degrade  vt.贬低;恶化;分解,降解
monolithic  adj.巨石的,巨大的
martyr  n.烈士,殉难者;vt.杀害,折磨,牺牲
stowage  n.装载
undaunted  adj.不屈不挠的,无畏的
advantage  n.优势；长处
embolden  v.鼓励
abortive  adj.无效果的，失败的
impersonator  n.扮演者
fabricate  v.捏造，编造(谎言，借口等)；建造，制造
knoll  n.小山;小圆丘
seduce  v.勾引,诱惑
communist  n.共产党员
exception  n.例外，除外；反对；异议
temporary  a.暂时的,临时的
